Object_ID,AVFScore
a1c0fcaf-7472-38a9-8148-bb5d76b381b3, 21.688205
59f8e768-eee5-3639-a01b-f1b381401e13, 20.200772
dd9ec4de-e00f-394f-b1a9-7667949b231b, 20.459878
7d008e35-0ca9-384a-9a20-913fbc3018b8, 25.087253
eacc9d88-beb2-3a4d-a218-e90403ce0b88, 20.607831
de874eb4-74cf-3e0b-9d41-5180f3e2a092, 18.701637
6bba8a11-25c2-3fbb-8b0c-2acf8371ff25, 23.850019
2b857105-9bc9-3a3b-ab0c-8eced00242e4, 23.850019
2539ccfc-e122-32cf-bb34-589d5a89f291, 23.850019
d3aa5105-fe53-326b-9a47-e473d5f1b31a, 21.851332
e683c5fe-94a1-33d1-8d04-0102c69dcfc2, 23.850019
a51a615b-d238-3d2d-9fc1-a2acc5e01fc4, 24.661379
7e058cca-e7e4-39e7-ba9f-0d66b9d3bf4a, 20.383002
9656fcbf-704b-3cc9-bb00-64e8190c33e3, 23.109229
5caee32b-eb02-3c95-885f-968474d1b53e, 21.938091
0ade7a32-6630-32d7-97c6-851a8596ebb7, 20.073300
dd1fd261-92b9-3424-bf93-26d90b4aef46, 24.809487
263b0a3c-552f-3516-838a-295c0eeb6c98, 23.850019
d25b1f22-3f35-31f2-8f30-d130adbe05b0, 23.850019
f6e6de2b-e9e1-3766-aff8-6a4801c6a1bb, 20.674577
0e48f8f9-16dd-393d-9e1c-b2bc5f276c72, 19.473115
1ce1a5fb-2404-359e-9a0a-65b1642ce564, 18.608000
dc1a5e3f-4b94-3bd8-8e0d-51790f628e00, 20.504766
67218291-2f49-37e5-aadf-4253a2b04b2b, 21.329363
71690b3e-b3c4-376b-8e32-534accb54b6f, 23.850019
076fbec1-1be4-3893-82ef-d369f00a5610, 23.850019
e988d7ac-9260-38b4-afb0-2c187c7ce7c8, 23.850019
39cd08b3-e9b8-3474-bfb7-91509a259193, 17.376721
396fafd8-5ec9-3ea0-b983-383bd65ee4a7, 19.150176
00a60e2f-feee-3420-aef4-effc784e4166, 23.850019
2667516b-d8ff-3fe7-ac42-8d54b4be45e1, 23.850019
0aabfc3f-f6a0-30bb-bc7f-a6eed98b919e, 23.850019
fbd07e59-edf9-3f18-a1e2-caaf32cea362, 23.109229
31d2577a-c3b7-3df6-aff5-738d21a82b74, 21.938091
f10aaa77-b390-38d4-9721-00f673dacf4e, 23.850019
d8a40e84-8410-3122-a849-fc3158eb17f1, 23.850019
0b58db2b-0e02-3c1b-8de5-323d281800f7, 23.109229
1bcdbc83-5616-33fe-b585-0be7a41c5502, 21.779332
5b2061b4-9aa7-3ff9-a52a-baffbbb5c0a2, 24.790450
e46974b7-524a-3cc6-b849-4a736338da7f, 24.809487
a0ded03e-43d5-372f-a340-ee462093dc8b, 24.809487
a24510d6-fd4d-3956-93ce-98c8c0434261, 24.809487
7a3ddc70-10c3-3276-9fc2-f74e9efc0229, 24.809487
dbb76494-12af-3484-9ac1-a77980a81fea, 24.809487
581f0617-ffd8-3bef-a6d2-5ab979145eb1, 24.809487
1fb17672-9d1b-3e79-9729-16a6ecc192e6, 24.790450
