UUID,X0_EVENT_READ,X0_EVENT_OPEN,X0_EVENT_CHECK_FILE_ATTRIBUTES,X0_EVENT_CREATE_OBJECT,X0_EVENT_CLOSE,X0_EVENT_LOADLIBRARY,X0_EVENT_UNLINK,X0_EVENT_OTHER,X0_EVENT_RENAME,X0_EVENT_RECVFROM,X0_EVENT_SENDTO,X0_EVENT_CONNECT,X0_EVENT_MODIFY_FILE_ATTRIBUTES,X0_EVENT_BIND,X0_EVENT_WRITE,X1_com.android.settings:CryptKeeper,X1_edu.mit.clearscope.benigntraffic,X1_com.android.externalstorage,X1_com.android.smspush,X1_com.android.settings,X1_com.android.launcher3,X1_com.android.keychain,X1_com.TA5.android.LobiwApp,X1_com.android.dialer,X1_com.android.gallery3d,X1_com.android.messaging,X1_com.android.documentsui,X1_com.android.nfc,X1_com.android.phone,X1_android.process.acore,X1_com.TA5.HevowApp,X1_com.android.bluetooth,X1_android.process.media,X1_com.android.email,X1_com.motorola.android.buacontactadapter,X1_com.android.systemui,X1_com.android.calendar,X1_com.android.defcontainer,X1_com.TA5.android.SetexApp,X1_com.android.managedprovisioning,X1_com.TA5.RamustApp,X1_com.android.quicksearchbox,X1_WebViewLoader-armeabi-v7a,X1_system_server,X1_com.android.providers.calendar,X1_com.android.printspooler,X1_com.android.music,X1_com.android.musicfx,X1_com.android.deskclock,X1_com.android.onetimeinitializer,X1_com.android.provision,X1_com.android.camera2,X1_com.TA5.StifyzApp,X1_com.android.inputmethod.latin,X1_com.svox.pico,X3_31337,X3_www.cbs.com 216.66.26.25,X3_-1,X3_80,X3_<UNKNOWN>,X3_www.google.com 64.233.169.103,X3_www.geico.com 72.247.20.64,X3_www.homedepot.com 202.157.156.182,X3_abc.go.com 198.105.193.176,X3_www.hbo.com 207.25.80.123,X3_255.255.255.255,X3_www.yahoo.com 69.147.114.210,X3_www.costco.com 170.167.8.1
9293b986-d832-3f43-a55a-826abd7d60cf,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e3548c0-b030-3591-97ac-71b67bbcb305,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685c7dbe-d244-32d8-9a8c-20eb43007c5c,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19076fe4-7f6b-38f8-9e9c-29dc92dda8fe,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3c6e305-36b4-3b4d-ab5a-cae9137e55ab,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9eba8c2-e338-333a-9c85-8b0b72fbbe78,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3cb122a5-eb08-356c-bfc4-78c38b246106,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1
d936f338-1bdd-34fd-8bae-9000cd077e69,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d72595a5-a90f-3b4e-a2c0-04532494cf24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a16862c-73ce-3c07-902f-0e5d2ed336a0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
