Object_ID,EVENT_ACCEPT,EVENT_BIND,EVENT_CHANGE_PRINCIPAL,EVENT_CHECK_FILE_ATTRIBUTES,EVENT_CONNECT,EVENT_CREATE_THREAD,EVENT_EXECUTE,EVENT_EXIT,EVENT_LINK,EVENT_LOADLIBRARY,EVENT_LOGCLEAR,EVENT_LOGIN,EVENT_LOGOUT,EVENT_MODIFY_FILE_ATTRIBUTES,EVENT_OTHER,EVENT_READ,EVENT_RECVMSG,EVENT_SENDMSG,EVENT_STARTSERVICE,EVENT_UNLINK,EVENT_UPDATE,EVENT_WRITE
afb9765e-cf56-36ab-a50f-611f1a57f75b,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8cbc5bdf-2ebc-3289-8378-0ac3276e6cfc,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
e8d0305e-f65f-33eb-8bd6-a4af47464822,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ae4cec92-282c-3057-9701-a63c7018f95f,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2293bc72-eec7-38e6-a325-3fb7d9b4da91,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
c9f41c3f-a7ce-3efe-a560-41e2748a612d,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
98472095-8748-3261-9b2e-cd758eee3600,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44c6c26f-5ee3-386c-b62c-5c887c7939ea,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
711b1d09-3a4e-3299-a4a4-eeaa9125047c,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aa2602c9-46e8-30df-b2a8-679bfc4c11ff,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bba37e8d-3b01-37f8-9f21-b2d8f72e42f4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7d92703c-e781-36fa-9f19-6f97f7bfcf94,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d1583f04-f581-3219-aebb-e2dbae39e2dc,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
